game_name,year_of_release,developer,Genre_id,NA_sales,JPN_sales,EU_sales,Global_sales,other_sales,game_id,platform_id,publisher_id
"Grand Theft Auto: San Andreas",2005,"Rockstar North",1,1.26,0.61,0,1.95,0.09,1,16,1
"Super Puzzle Fighter II Turbo",1996,Capcom,2,0.08,0.05,0,0.14,0.01,2,7,2
RayStorm,1997,"Taito Corporation",3,0.04,0.03,0,0.07,0,3,7,3
"Colony Wars",1997,Psygnosis,4,0.24,0.16,0,0.42,0.03,4,7,4
"RPG Maker",1997,"Kuusou Kagaku",5,0.11,0.07,0.29,0.5,0.03,5,7,5
"Gran Turismo",1997,"Polyphony Digital",6,4.02,3.87,2.54,10.95,0.52,6,7,3
"Silhouette Mirage",1998,Treasure,7,0.03,0.02,0,0.05,0,7,7,6
"Strikers 1945",1998,Psikyo,3,0.07,0.05,0,0.12,0.01,8,7,7
"Bomberman Party Edition",1998,Metro,2,0.07,0.05,0,0.12,0.01,9,7,2
"Star Ocean: The Second Story",1998,Tri-Ace,5,0.26,0.1,0.72,1.1,0.02,10,7,3
"Brave Fencer Musashi",1998,SquareSoft,5,0.25,0.17,0.65,1.14,0.07,11,7,8
"ISS Pro Evolution",1998,KCET,8,0,0,0.71,0.76,0.05,12,7,9
"Crash Bandicoot 3: Warped",1998,"Naughty Dog",7,3.68,1.75,1.42,7.13,0.28,13,7,3
Homeworld,1998,Relic,9,0,0.02,0,0.02,0,14,6,10
"ECW Anarchy Rulz",1999,Acclaim,10,0.06,0.04,0,0.11,0.01,15,7,11
Grandia,1999,"Game Arts",5,0.14,0.09,0,0.25,0.02,16,7,12
"Saiyuki: Journey West",1999,Koei,9,0.03,0.02,0,0.05,0,17,7,13
"Frogger 2: Swampy's Revenge",1999,"Blitz Games",1,0.8,0.54,0,1.43,0.09,18,7,14
"Need for Speed: Porsche Unleashed",1999,"Eden Studios",6,0.43,0.29,0,0.77,0.05,19,7,15
"Need For Speed: High Stakes",1999,"EA Canada",6,1.58,0.64,0,2.31,0.09,20,7,15
"WipEout 3",1999,Psygnosis,6,0.19,0.13,0,0.34,0.02,21,7,4
"Ape Escape",1999,SCEI,7,0.71,0.48,0.32,1.63,0.11,22,7,3
"Bust A Groove 2",1999,Metro,11,0.04,0.03,0.18,0.26,0.02,23,7,16
"Crash Team Racing",1999,"Naughty Dog",6,2.57,1.57,0.44,4.79,0.21,24,7,3
"Harvest Moon: Back to Nature",1999,"Victor Interactive Software",4,0.11,0.07,0.12,0.32,0.02,25,7,12
"HBO Boxing",2000,"Osiris Studios",10,0.12,0.08,0,0.21,0.01,26,7,11
"Surfing H3O",2000,Opus,8,0.12,0.1,0,0.25,0.03,27,8,1
"Buzz Lightyear of Star Command",2000,"Traveller's Tales",7,0.35,0.24,0,0.63,0.04,28,7,17
"Ball Breakers",2000,"Lost Toys",1,0.1,0.07,0,0.18,0.01,29,7,1
MotoGP,2000,Namco,6,0.06,0.05,0.14,0.27,0.02,30,8,18
"NFL 2K1",2000,"Visual Concepts",8,1.02,0.05,0,1.09,0.02,31,2,19
"NASCAR 2001",2000,"Black Box",6,0.45,0.31,0,0.81,0.05,32,7,15
"Chicken Run",2000,"Blitz Games",12,0.07,0.05,0,0.13,0.01,33,7,20
Fantavision,2000,SCEJ,2,0.14,0.11,0.19,0.47,0.04,34,8,3
"NASCAR 2001",2000,"EA Sports",6,0.34,0.27,0,0.7,0.09,35,8,15
"Madden NFL 2001",2000,"EA Sports",8,1.58,0.05,0,1.67,0.04,36,7,15
"Disney's The Lion King: Simba's Mighty Adventure",2000,"Paradox Development",1,0.08,0.06,0,0.15,0.01,37,7,17
"Disney's Donald Duck: Goin' Quackers",2000,"Ubisoft Shanghai",7,0.08,0.06,0,0.15,0.01,38,7,12
"Disney's The Emperor's New Groove",2000,"Disney Interactive",7,0.17,0.12,0,0.31,0.02,39,7,3
"Destruction Derby Raw",2000,"Studio 33",6,0.08,0.05,0,0.14,0.01,40,7,3
"Disney's Donald Duck: Goin' Quackers",2000,"Disney Interactive",7,0.04,0.03,0,0.08,0.01,41,8,12
"Gadget Racers",2000,"Barnhouse Effect",6,0.04,0.03,0,0.08,0.01,42,8,7
"Digimon World 2",2000,Bandai,5,0.23,0.16,0.16,0.58,0.04,43,7,18
"RC Revenge Pro",2000,Acclaim,6,0.08,0.06,0,0.17,0.02,44,8,11
"Ridge Racer V",2000,Namco,1,0.24,0.19,0.75,1.24,0.06,45,8,18
"Sega GT",2000,TOSE,6,0,0,0.13,0.13,0,46,2,19
"NHL 2001",2000,"Page 44 Studios",8,0.35,0.24,0,0.63,0.04,47,7,15
"Madden NFL 2001",2000,"EA Sports",8,1.19,0.07,0.05,1.5,0.2,48,8,15
"FIFA 2001 Major League Soccer",2000,"EA Sports",8,0.18,0.12,0,0.32,0.02,49,7,15
"Theme Park Roller Coaster",2000,"Bullfrog Productions",9,0.23,0.18,0,0.48,0.06,50,8,15
"NBA Live 2001",2000,"EA Sports",8,0.7,0.47,0,1.25,0.08,51,7,15
"Strider 2",2000,Capcom,7,0.05,0.03,0,0.08,0.01,52,7,2
"NHL 2001",2000,"EA Sports",8,0.47,0.37,0,0.96,0.12,53,8,15
"Crash Bash",2000,"Eurocom Entertainment Software",11,1.56,1.47,0.19,3.39,0.17,54,7,3
"Rayman 2: Revolution",2000,Ubisoft,7,0.15,0.11,0,0.3,0.04,55,8,12
"Disney's Aladdin in Nasira's Revenge",2000,"Argonaut Games",1,0.05,0.04,0,0.09,0.01,56,7,3
"Dance Dance Revolution Disney Mix",2000,Konami,4,0.02,0.02,0,0.04,0,57,7,9
SSX,2000,"EA Sports Big",8,0.78,0.61,0.06,1.66,0.2,58,8,15
"Sky Odyssey",2000,CAProduction,4,0.16,0.12,0,0.32,0.04,59,8,3
"Dave Mirra Freestyle BMX",2000,"Z-Axis, Ltd.",8,0.91,0.11,0,1.05,0.03,60,7,11
"NFL Fever 2002",2000,"Microsoft Game Studios",8,0.74,0.21,0,0.99,0.04,61,16,21
"Romance of the Three Kingdoms VII",2000,Koei,9,0.08,0.06,0.16,0.32,0.02,62,8,13
"Colin McRae Rally 2.0",2000,Codemasters,6,0.02,0.8,0.02,0.91,0.07,63,7,22
"Mega Man Legends 2",2000,Capcom,12,0.17,0.12,0.1,0.42,0.03,64,7,23
"Spyro: Year of the Dragon",2000,"Insomniac Games",7,1.93,1.58,0,3.71,0.19,65,7,3
"Tokyo Xtreme Racer Zero",2000,Genki,6,0.66,0.52,0.15,1.5,0.17,66,8,24
"Mega Man X5",2000,Capcom,7,0.3,0.21,0.2,0.75,0.05,67,7,23
"Rollcage Stage II",2000,"Attention To Detail",6,0.05,0.03,0,0.09,0.01,68,7,3
Spider-Man,2000,"Neversoft Entertainment",1,1.7,1.25,0.02,3.13,0.16,69,7,17
"E.T. The Extra-Terrestrial",2001,"Fluid Studios",1,0.01,0,0,0.01,0,70,4,25
"Top Gun: Combat Zones",2001,"Titus Software",4,0.45,0.35,0,0.92,0.12,71,8,26
"Casper: Spirit Dimensions",2001,"Lucky Chicken",7,0.07,0.05,0,0.14,0.02,72,8,27
"Paris-Dakar Rally",2001,"Broadsword Interactive",6,0.08,0.06,0,0.15,0.02,73,8,11
"NHL FaceOff 2001",2001,"989 Sports",8,0.1,0.07,0,0.2,0.02,74,8,3
"Frogger: The Great Quest",2001,Konami,7,0.6,0.47,0,1.23,0.16,75,8,9
"NFL GameDay 2002",2001,"Red Zone Entertainment",8,0.19,0.15,0,0.38,0.05,76,8,3
"Star Wars: Super Bombad Racing",2001,"Lucas Learning",6,0.08,0.06,0,0.16,0.02,77,8,28
"Motocross Mania",2001,"Deibus Studios",6,0.44,0.3,0,0.79,0.05,78,7,1
"Midnight Club: Street Racing",2001,"Angel Studios",6,0.34,0.13,0,0.48,0.01,79,4,29
"F1 2001",2001,"EA Sports",6,0.05,0.01,0,0.06,0,80,16,15
"All-Star Baseball 2002",2001,Acclaim,8,0.17,0.04,0,0.22,0.01,81,5,11
"18 Wheeler: American Pro Trucker",2001,"Acclaim Studios Cheltenham",6,0.2,0.15,0,0.4,0.05,82,8,11
"Earthworm Jim",2001,"Game Titan",7,0.2,0.08,0,0.29,0.01,83,4,30
"Ford Racing",2001,"Toolbox Design",6,0.48,0.33,0,0.86,0.06,84,7,31
"Bass Strike",2001,THQ,8,0.14,0.11,0,0.28,0.04,85,8,32
"FIFA Soccer 2002",2001,"EA Sports",8,0.31,0.24,0,0.63,0.08,86,8,15
"Namco Museum",2001,"Mass Media",11,1.73,0.07,0,1.82,0.02,87,8,18
"Formula One 2001",2001,"Studio Liverpool",6,0.13,0.1,0,0.26,0.03,88,8,3
"GT Advance 2: Rally Racing",2001,MTO,6,0.08,0.03,0,0.11,0,89,4,32
"4x4 EVO 2",2001,"Terminal Reality",6,0.18,0.05,0,0.24,0.01,90,16,33
"City Crisis",2001,Syscom,4,0.06,0.05,0,0.13,0.02,91,8,1
"The Powerpuff Girls: Chemical X-Traction",2001,"VIS Entertainment",1,0.14,0.1,0,0.25,0.02,92,7,34
"Pac-Man Fever",2001,"Mass Media",11,0.25,0.2,0,0.51,0.07,93,8,3
"Yanya Caballista: City Skater",2001,Cave,8,0.02,0.02,0,0.05,0.01,94,8,13
"FIFA Soccer 2002",2001,"EA Sports",8,0.08,0.06,0,0.15,0.01,95,7,15
"NCAA Final Four 2002",2001,"989 Sports",8,0.15,0.12,0,0.31,0.04,96,8,3
"PaRappa The Rapper 2",2001,NanaOn-Sha,11,0.07,0.05,0,0.14,0.02,97,8,3
"Portal Runner",2001,3DO,7,0.06,0.05,0,0.13,0.02,98,8,35
"Mega Man X6",2001,Capcom,1,0.14,0.1,0.16,0.42,0.03,99,7,23
MXRider,2001,"Paradigm Entertainment",6,0.16,0.13,0,0.34,0.04,100,8,36
"Monsters, Inc. Scream Team",2001,"Artificial Mind and Movement",7,0.31,0.21,0,0.56,0.04,101,7,3
"NASCAR Thunder 2002",2001,"Black Box",6,0.23,0.16,0,0.42,0.03,102,7,15
"Fuzion Frenzy",2001,"Blitz Games",11,0.93,0.24,0,1.21,0.04,103,16,21
"Disney's Tarzan Untamed",2001,Ubisoft,7,0.2,0.16,0,0.41,0.05,104,8,12
"AirForce Delta Storm",2001,"KCE Studios",3,0.14,0.04,0,0.18,0.01,105,16,9
"Harry Potter and the Sorcerer's Stone",2001,"Griptonite Games",1,0.87,0.66,0.08,1.69,0.08,106,4,15
"Crash Bandicoot: The Wrath of Cortex",2001,"Traveller's Tales",7,2.07,2.29,0.24,5.42,0.82,107,8,37
"The Weakest Link",2001,"Activision, Traveller's Tales",11,0.05,0.03,0,0.09,0.01,108,7,17
"Namco Museum",2001,"Mass Media",11,3,1.11,0.05,4.24,0.07,109,4,18
"Disney's Tarzan Untamed",2001,"Ubisoft Montreal",7,0.14,0.04,0,0.18,0,110,5,12
"Woody Woodpecker: Escape from Buzz Buzzard Park",2001,"EKO Software",7,0.02,0.02,0,0.05,0.01,111,8,38
"NBA Live 2002",2001,"Electronic Arts",8,0.91,0.71,0,1.86,0.24,112,8,15
"Harry Potter and the Sorcerer's Stone",2001,"Argonaut Games",1,1.37,2,0.14,3.73,0.22,113,7,15
"NBA Live 2002",2001,"Electronic Arts",8,0.35,0.03,0,0.4,0.02,114,16,15
"World Tour Soccer 2002",2001,"SCEE London Studio",8,0.07,0.05,0,0.14,0.02,115,8,3
"NFL 2K2",2001,"Visual Concepts",8,0.44,0.34,0,0.89,0.11,116,8,19
"Tony Hawk's Pro Skater 2",2001,"Vicarious Visions",8,0.85,0.31,0,1.18,0.02,117,4,17
"Supercar Street Challenge",2001,Exakt,6,0.55,0.43,0,1.12,0.14,118,8,17
"Le Mans 24 Hours",2001,Atari,6,0.09,0.07,0.02,0.2,0.02,119,8,39
"Worms World Party",2001,"Team 17",9,0,0.01,0,0.02,0,120,6,2
"All-Star Baseball 2002",2001,"Acclaim Studios Austin",8,0.27,0.21,0,0.56,0.07,121,8,11
"NHL Hitz 20-02",2001,"Black Box",8,0.28,0.22,0,0.56,0.07,122,8,40
Burnout,2001,"Criterion Games",6,0.36,0.28,0,0.74,0.1,123,8,11
"ESPN X Games Skateboarding",2001,KCEO,8,0.18,0.14,0,0.36,0.05,124,8,9
"Harry Potter and the Sorcerer's Stone",2001,KnowWonder,1,0.01,0.04,0,0.06,0.01,125,6,15
"NFL Quarterback Club 2002",2001,Acclaim,8,0.11,0.08,0,0.22,0.03,126,8,11
"Pac-Man Collection",2001,"Mass Media",2,2.07,0.77,0.05,2.94,0.05,127,4,36
"Final Fight One",2001,Sun-Tec,10,0.09,0.03,0.08,0.21,0,128,4,12
"XGIII: Extreme G Racing",2001,Acclaim,6,0.12,0.03,0,0.15,0,129,5,11
"Super Mario Advance",2001,Nintendo,7,3.14,1.24,0.91,5.49,0.2,130,4,41
"Sunny Garcia Surfing",2001,"Krome Studios",8,0.02,0.01,0,0.03,0,131,8,12
"Super Monkey Ball",2001,"Amusement Vision",2,0.95,0.37,0.1,1.46,0.04,132,5,36
"Madden NFL 2002",2001,"EA Sports",8,2.5,0.16,0.01,3.08,0.42,133,8,15
"Jurassic Park III: Park Builder",2001,Konami,4,0.04,0.02,0,0.06,0,134,4,9
"Spyro: Season of Ice",2001,"Digital Eclipse",7,1.29,0.83,0,2.23,0.11,135,4,10
"FIFA Soccer 2002",2001,"EA Sports",8,0.14,0.04,0,0.18,0,136,5,15
"Madden NFL 2002",2001,"EA Sports",8,0.78,0.53,0,1.39,0.09,137,7,15
"Stunt GP",2001,"Team 17",6,0.02,0.02,0,0.05,0.01,138,8,26
"Dave Mirra Freestyle BMX: Maximum Remix",2001,"Z-Axis, Ltd.",8,0.15,0.1,0,0.27,0.02,139,7,11
"MLB 2002",2001,"989 Sports",8,0.24,0.16,0,0.43,0.03,140,7,3
"Sonic Advance",2001,"Sonic Team",7,1.19,0.71,0.22,2.24,0.13,141,4,19
SplashDown,2001,"Rainbow Studios",6,0.34,0.27,0,0.7,0.09,142,8,36
"Project Gotham Racing",2001,"Bizarre Creations",6,1.37,0.61,0.05,2.12,0.09,143,16,21
"Rumble Racing",2001,"Electronic Arts",6,0.1,0.08,0,0.21,0.03,144,8,15
"Test Drive Off-Road Wide Open",2001,"Rockstar San Diego",6,0.15,0.03,0,0.18,0.01,145,16,39
"Sonic Adventure 2 Battle",2001,"Sonic Team",7,1.7,0.59,0.21,2.56,0.07,146,5,19
"MX 2002 Featuring Ricky Carmichael",2001,"Pacific Coast Power & Light",6,0.27,0.21,0,0.56,0.07,147,8,32
Rez,2001,UGA,3,0.03,0.02,0,0.05,0.01,148,8,3
"Wave Race: Blue Storm",2001,Nintendo,6,0.4,0.1,0.09,0.6,0.02,149,5,41
"F1 2001",2001,"EA Sports",6,0.07,0.06,0,0.15,0.02,150,8,15
"Tony Hawk's Pro Skater 3",2001,"Shaba Games",8,1.09,0.49,0.02,1.67,0.07,151,7,17
"Mario Kart: Super Circuit",2001,"Intelligent Systems",6,2.62,1.64,0.99,5.47,0.23,152,4,41
"ATV Offroad Fury",2001,"Rainbow Studios",6,2.07,0.26,0,2.41,0.08,153,8,3
"Rayman Advance",2001,"Digital Eclipse",7,0.36,0.13,0,0.5,0.01,154,4,12
"Microsoft Train Simulator",2001,"Kuju Entertainment",4,0,0.04,0,0.05,0.01,155,6,21
"Gran Turismo 3: A-Spec",2001,"Polyphony Digital",6,6.85,5.09,1.87,14.98,1.16,156,8,3
"Disney's Atlantis: The Lost Empire",2001,"Eurocom Entertainment Software",7,0.1,0.07,0,0.17,0.01,157,7,3
"Monster Rancher 3",2001,Tecmo,4,0.11,0.09,0.14,0.36,0.03,158,8,13
"Luigi's Mansion",2001,Nintendo,1,2.38,0.67,0.46,3.6,0.1,159,5,41
"NASCAR Thunder 2002",2001,"EA Sports",6,0.57,0.44,0,1.16,0.15,160,8,15
"F-Zero: Maximum Velocity",2001,"Nd Cube",6,0.39,0.16,0.37,1.04,0.12,161,4,41
"SSX Tricky",2001,"EA Sports Big",8,0.32,0.09,0,0.43,0.02,162,16,15
"NHL 2002",2001,"EA Sports",8,0.59,0.46,0,1.2,0.15,163,8,15
"Rayman Arena",2001,Ubisoft,6,0.29,0.23,0,0.6,0.08,164,8,12
"Mat Hoffman's Pro BMX",2001,"Shaba Games",8,0.3,0.2,0,0.54,0.04,165,7,17
"SSX Tricky",2001,"EA Sports Big",8,0.42,0.11,0,0.54,0.01,166,5,15
"NBA Street",2001,NuFX,8,2.19,0.22,0,2.79,0.38,167,8,15
"Sonic Adventure 2",2001,"Sonic Team",7,0,0,0.12,0.12,0,168,2,19
"Hoshigami: Ruining Blue Earth",2001,"Max Five",5,0.03,0.02,0,0.05,0,169,7,42
"Shaun Palmer's Pro Snowboarder",2001,Dearsoft,8,0.36,0.28,0,0.73,0.09,170,8,22
"Spider-Man 2: Enter: Electro",2001,"Vicarious Visions",1,0.57,0.87,0.02,1.55,0.09,171,7,17
"Toy Story Racer",2001,"Traveller's Tales",6,0.08,0.06,0,0.15,0.01,172,7,17
"NHL Hitz 20-02",2001,"Black Box",8,0.2,0.06,0,0.27,0.01,173,16,40
"NHL Hitz 20-02",2001,Midway,8,0.16,0.04,0,0.21,0.01,174,5,40
"Gitaroo Man",2001,Koei/Inis,11,0.02,0.02,0,0.05,0.01,175,8,32
"Spider-Man: Mysterio's Menace",2001,"Vicarious Visions",1,0.43,0.16,0,0.61,0.01,176,4,17
Pikmin,2001,Nintendo,9,0.78,0.25,0.56,1.63,0.04,177,5,41
"Jak and Daxter: The Precursor Legacy",2001,"Naughty Dog",7,2.08,1.09,0.15,3.64,0.33,178,8,3
"NCAA Football 2002",2001,"EA Sports",8,0.77,0.6,0,1.57,0.2,179,8,15
"NFL GameDay 2002",2001,"989 Sports",8,0.23,0.15,0,0.4,0.03,180,7,3
"Digimon Rumble Arena",2001,Bandai,10,0.01,0.01,0,0.02,0,181,7,18
"Looney Tunes: Sheep Raider",2001,Infogrames,7,0.07,0.05,0,0.12,0.01,182,7,39
"Breath of Fire",2001,Capcom,5,0.11,0.04,0.06,0.22,0,183,4,12
"NBA Live 2002",2001,"EA Canada",8,0.29,0.19,0,0.52,0.03,184,7,15
"Breath of Fire II",2001,Capcom,5,0.14,0.05,0,0.19,0,185,4,12
"NHL 2002",2001,"EA Sports",8,0.2,0.06,0,0.27,0.01,186,16,15
"Mega Man Battle Network",2001,Capcom,5,0.14,0.05,0.22,0.42,0.01,187,4,23
"Hot Shots Golf 3",2001,"Clap Hanz",8,0.99,0.32,1.38,2.89,0.2,188,8,3
"Animal Crossing",2001,Nintendo,4,1.92,0.16,0.99,3.15,0.09,189,5,41
"Wario Land 4",2001,Nintendo,7,0.9,0.73,0.54,2.26,0.09,190,4,41
"SSX Tricky",2001,"EA Canada",8,0.85,0.66,0,1.73,0.22,191,8,15
"Zone of the Enders: The Fist of Mars",2001,WinkySoft,5,0.04,0.02,0,0.06,0,192,4,9
"Amped: Freestyle Snowboarding",2001,"Indie Built",8,0.69,0.11,0,0.82,0.02,193,16,21
Frequency,2001,"Harmonix Music Systems",11,0.09,0.07,0,0.19,0.02,194,8,3
"Advance Wars",2001,"Intelligent Systems",9,0.5,0.19,0,0.7,0.01,195,4,41
"Gallop Racer 2001",2001,Tecmo,8,0.05,0.04,0.06,0.17,0.01,196,8,13
"Tactics Ogre: The Knight of Lodis",2001,Quest,5,0.13,0.05,0.31,0.5,0.01,197,4,41
"Ace Combat 04: Shattered Skies",2001,Namco,4,2.06,0.56,0.38,3.17,0.17,198,8,43
"Klonoa 2: Lunatea's Veil",2001,Namco,7,0.12,0.1,0.08,0.33,0.03,199,8,3
"Golden Sun",2001,"Camelot Software Planning",5,0.93,0.38,0.4,1.76,0.06,200,4,41
"Sabrina The Teenage Witch: Potion Commotion",2002,Ubisoft,1,0.08,0.03,0,0.11,0,201,4,12
"Disney's Donald Duck: Goin' Quackers",2002,"Ubisoft Montreal",7,0.03,0.01,0,0.04,0,202,5,12
"Salt Lake 2002",2002,"Attention To Detail",8,0.07,0.05,0,0.14,0.02,203,8,20
"Legends of Wrestling II",2002,"Powerhead Games",10,0.05,0.02,0,0.07,0,204,4,11
"Spyro: Enter the Dragonfly",2002,"Check Six Games",7,0.74,0.95,0,1.97,0.28,205,8,37
"Nickelodeon Party Blast",2002,"Data Design Interactive",11,0.16,0.05,0,0.22,0.01,206,16,39
"Smuggler's Run",2002,"Destination Software",6,0.01,0,0,0.01,0,207,4,29
"Ferrari F355 Challenge",2002,"Sega AM2",6,0.03,0.02,0,0.05,0.01,208,8,3
Sneakers,2002,"Media Vision",2,0.07,0.02,0,0.1,0,209,16,21
"Disney Sports Skateboarding",2002,KCEO,8,0.05,0.01,0,0.06,0,210,5,9
"Monsters, Inc. Scream Arena",2002,"Radical Entertainment",7,0.29,0.07,0,0.37,0.01,211,5,32
"Britney's Dance Beat",2002,"Metro Graphics",11,0.12,0.09,0,0.24,0.03,212,8,32
"Antz Extreme Racing",2002,"Empire Interactive",6,0.02,0.02,0,0.04,0.01,213,8,31
"Star Wars Episode II: Attack of the Clones",2002,"David A. Palmer Productions",1,0.55,0.2,0,0.77,0.01,214,4,32
"Disney's PK: Out of the Shadows",2002,Ubisoft,7,0.06,0.05,0,0.12,0.02,215,8,12
XXX,2002,"Digital Eclipse",1,0.08,0.03,0,0.11,0,216,4,17
"Herdy Gerdy",2002,"Core Design Ltd.",12,0.11,0.08,0,0.22,0.03,217,8,20
"Shrek Super Party",2002,"Mass Media",11,0.14,0.11,0,0.29,0.04,218,8,27
"Jimmy Neutron: Boy Genius",2002,"Big Sky Software",7,0.07,0.02,0,0.09,0,219,5,32
"Spyro: Enter the Dragonfly",2002,Equinoxe,7,0.55,0.14,0,0.71,0.02,220,5,37
"NBA Starting Five",2002,Konami,8,0.02,0.01,0,0.02,0,221,16,9
"Dragon Ball Z: Collectible Card Game",2002,ImaginEngine,11,0.33,0.12,0,0.46,0.01,222,4,39
"Jeremy McGrath Supercross World",2002,Acclaim,6,0.09,0.02,0,0.12,0,223,5,11
"Tetris Worlds",2002,"Radical Entertainment",2,0.17,0.04,0,0.22,0.01,224,5,32
"2002 FIFA World Cup",2002,"EA Sports",8,0.21,0.17,0.16,0.59,0.06,225,8,15
"Earthworm Jim 2",2002,"Super Empire",7,0.02,0.01,0,0.03,0,226,4,10
"NBA ShootOut 2003",2002,SCEA,8,0.11,0.09,0,0.23,0.03,227,8,3
"NCAA Final Four 2003",2002,"989 Sports",8,0.09,0.07,0,0.19,0.02,228,8,3
"Virtua Striker 2002",2002,"Amusement Vision",8,0.01,0,0.03,0.05,0,229,5,19
ZooCube,2002,PuzzleKings,2,0.02,0,0,0.02,0,230,5,11
"Tetris Worlds",2002,"Blue Planet Software",2,1.11,0.71,0,2.08,0.27,231,8,32
"NHL 2003",2002,"EA Sports",8,0.1,0.03,0,0.13,0,232,5,15
"Hot Wheels Velocity X",2002,"Beyond Games",6,0.09,0.02,0,0.11,0,233,5,32
"Need for Speed: Hot Pursuit 2",2002,"EA Seattle",6,0.68,0.11,0,0.82,0.03,234,16,15
"F1 2002",2002,"Visual Sciences",6,0.05,0.04,0.02,0.12,0.01,235,8,15
"Robotech: The Macross Saga",2002,"Lucky Chicken",3,0.15,0.06,0,0.21,0,236,4,27
"Combat Flight Simulator 3: Battle for Europe",2002,"Microsoft Game Studios",4,0.01,0.01,0,0.02,0,237,6,21
"P.T.O. IV: Pacific Theater of Operations",2002,Koei,9,0.04,0.03,0,0.08,0.01,238,8,13
Burnout,2002,"Criterion Games",6,0.09,0.03,0,0.13,0,239,16,11
"NASCAR Thunder 2003",2002,"EA Sports",6,0.24,0.06,0,0.31,0.01,240,5,15
"FIFA Soccer 2003",2002,"EA Canada",8,0.46,2.28,0.05,3.4,0.61,241,8,15
"The Powerpuff Girls: Relish Rampage",2002,"VIS Entertainment",1,0.22,0.17,0,0.45,0.06,242,8,34
"18 Wheeler: American Pro Trucker",2002,"Acclaim Studios Cheltenham",6,0.09,0.02,0,0.11,0,243,5,11
"NHL 2003",2002,"EA Sports",8,0.46,0.36,0,0.93,0.12,244,8,15
"Dragon Ball Z: The Legacy of Goku",2002,"Webfoot Technologies",5,1.52,0.12,0,1.69,0.05,245,4,39
"Power Rangers: Wild Force",2002,Natsume,1,0.15,0.05,0,0.21,0,246,4,32
"Barbie Groovy Games",2002,"Digital Illusions",11,0.4,0.15,0,0.56,0.01,247,4,37
