critic_score,critic_count,user_score,user_count,game_id,Rating
93,58,8.6,118,1,AO
83,9,7.4,5,2,E
79,7,7.8,4,3,E
91,12,7.8,12,4,E
66,11,8.2,9,5,E
96,16,8.7,138,6,E
69,8,7.5,4,7,E
63,5,8.2,6,8,E
79,6,8.3,6,9,E
80,13,8.5,44,10,E
81,12,8.5,17,11,E
94,4,8.7,40,12,E
91,12,8.9,432,13,E
93,20,9,326,14,E
43,7,6.3,4,15,E
89,14,6.6,77,16,E
73,9,7.1,9,17,E
77,4,7.9,8,18,E
78,13,8.5,24,19,E
86,14,8.5,28,20,E
89,14,8.5,15,21,E
90,19,8.8,53,22,E
66,8,8.9,35,23,E
88,20,9,233,24,E
82,6,9.3,78,25,E
26,7,4,5,26,E
46,15,4.6,8,27,E
54,10,5.3,4,28,E
68,10,5.3,4,29,E
77,16,6,5,30,E
97,22,6,47,31,E
73,8,6.1,9,32,E
75,7,6.2,6,33,E
72,18,6.3,9,34,E
66,16,6.6,9,35,E
90,14,6.8,4,36,E
30,5,6.9,9,37,E
65,4,7,10,38,E
66,8,7.2,6,39,E
69,9,7.3,14,40,E
73,10,7.3,7,41,E
67,10,7.4,7,42,E
42,5,7.6,47,43,E
49,13,7.6,7,44,E
78,20,7.7,6,45,E
84,25,7.7,11,46,E
88,10,7.7,7,47,E
91,25,7.7,7,48,E
85,10,7.8,5,49,E
82,11,7.9,17,50,E
86,10,8,6,51,E
69,15,8.1,11,52,E
85,22,8.1,9,53,E
68,12,8.2,99,54,E
90,16,8.2,42,55,E
61,11,8.3,7,56,E
74,7,8.3,13,57,E
93,35,8.3,33,58,E
79,18,8.4,9,59,E
82,14,8.4,5,60,E
79,24,8.5,10,61,E
72,10,8.7,11,62,E
90,13,8.7,31,63,E
76,10,8.8,29,64,E
91,15,8.8,207,65,E
76,15,8.9,64,66,E
76,10,8.9,55,67,E
85,7,8.9,16,68,E
87,19,9,107,69,E
46,4,2.4,21,70,E
63,17,3.3,9,71,E
58,7,3.5,6,72,E
36,6,3.9,15,73,E
57,11,4,4,74,E
32,6,4.6,29,75,E
51,18,4.6,5,76,E
71,21,4.9,8,77,E
34,6,5.3,6,78,E
50,5,5.3,6,79,E
83,11,5.5,8,80,E
66,17,5.6,9,81,E
61,11,5.7,18,82,E
72,10,5.7,6,83,E
53,4,5.8,4,84,E
57,11,5.8,4,85,E
82,17,5.8,28,86,E
72,9,6,5,87,E
73,18,6,5,88,E
77,12,6,4,89,E
59,15,6.2,5,90,E
63,20,6.2,5,91,E
30,6,6.3,4,92,E
47,14,6.3,7,93,E
58,13,6.3,7,94,E
81,8,6.4,5,95,E
52,14,6.5,8,96,E
67,26,6.6,26,97,E
53,18,6.7,6,98,E
65,14,6.8,44,99,E
69,16,6.8,6,100,E
65,10,6.9,8,101,E
69,8,6.9,10,102,E
70,28,6.9,16,103,E
59,7,7.1,7,104,E
61,21,7.1,7,105,E
64,8,7.1,7,106,E
66,22,7.1,156,107,E
63,7,7.2,6,108,E
79,10,7.3,6,109,E
61,11,7.4,8,110,E
64,5,7.4,5,111,E
70,16,7.4,8,112,E
64,11,7.5,41,113,E
76,15,7.5,6,114,E
77,21,7.5,10,115,E
85,16,7.5,6,116,E
95,16,7.5,22,117,E
57,15,7.6,9,118,E
75,19,7.6,9,119,E
75,8,7.6,68,120,E
77,16,7.6,8,121,E
78,18,7.6,8,122,E
79,25,7.7,33,123,E
58,15,7.8,14,124,E
65,11,7.8,76,125,E
67,12,7.8,6,126,E
79,13,7.8,4,127,E
82,16,7.8,8,128,E
83,21,7.8,14,129,E
84,19,7.8,41,130,E
61,11,7.9,7,131,E
87,28,7.9,46,132,E
94,23,7.9,46,133,E
65,5,8,5,134,E
74,16,8,13,135,E
81,13,8,9,136,E
